bottom_left,top_right,name,pop_density
"(0.6828930974006653, 51.77291488647461)","(1.0069450139999958, 51.97496414184576)",Colchester,593.0
"(-0.012779000215175529, 51.601100921630916)","(0.35066497325897217, 51.81287765502941)",Epping Forest,388.0
"(0.0387827605009079, 51.733825683593864)","(0.15969724953180275, 51.78879928588873)",Harlow,2851.0
"(0.5901921987533569, 51.59305572509777)","(0.9602779746056171, 51.834358215332145)",Maldon,181.0
"(0.5432718992234413, 51.53488922119152)","(0.9380559921265785, 51.65182495117199)",Rochford,522.0
"(0.9155977964401245, 51.76930618286133)","(1.2930569648743813, 51.958137512207145)",Tendring,436.0
"(0.08055599778901978, 51.7701148986817)","(0.5069849491120522, 52.0849990844726)",Uttlesford,142.0
"(-1.8505580425261314, 54.87294769287121)","(-1.5040733814238934, 54.98013305664074)",Gateshead,1419.0
"(-2.1598596572875977, 51.86401367187506)","(-2.024475336074829, 51.94471359252924)",Cheltenham,2496.0
"(-2.3342173099517822, 51.57722091674805)","(-1.5001600980758667, 52.10583114624035)",Cotswold,77.0
"(-2.6886119842529297, 51.60569381713873)","(-2.278383731841984, 52.019718170166016)",Forest of Dean,165.0
"(-2.3040523529052166, 51.82738876342785)","(-2.1973388195037273, 51.8951034545899)",Gloucester,3184.0
"(-2.5440347194671062, 51.59026718139654)","(-2.0943074226378826, 51.86347579956055)",Stroud,260.0
"(-2.3376874923706055, 51.82510375976568)","(-1.8217569589614868, 52.04891204833996)",Tewkesbury,229.0
"(0.07461900264036103, 51.50651931762701)","(0.1934510022402378, 51.59897994995117)",Barking and Dagenham,5898.0
"(-0.2944210171699524, 51.551540374755916)","(-0.13357675075531006, 51.66541290283203)",Barnet,4563.0
"(0.08031299710279427, 51.39855575561529)","(0.2246820032596588, 51.51191329956066)",Bexley,4099.0
"(-0.3729209899901207, 51.522098541259766)","(-0.17897799611091614, 51.600532531738224)",Brent,7628.0
"(-0.07634399831295013, 51.28248977661127)","(0.16916699707508087, 51.43927001953131)",Bromley,2214.0
"(-0.20472800731658936, 51.50834274291992)","(-0.0963139981030281, 51.567050933838004)",Camden,12393.0
"(-0.1636189967393875, 51.28916168212896)","(0.01316700037574492, 51.41741180419933)",Croydon,4471.0
"(-0.4431159198283581, 51.48828887939459)","(-0.23543399572372437, 51.56396102905285)",Ealing,6154.0
"(-0.17966738343233146, 51.59539031982416)","(-0.0025800000875619844, 51.68915939331055)",Enfield,4130.0
"(-0.026713000610470772, 51.422630310058594)","(0.12143299728631973, 51.51191329956066)",Greenwich,6086.0
"(-0.09413299709558487, 51.51602935791027)","(-0.010503999888840099, 51.57374954223633)",Hackney,14758.0
"(-0.24449600279325523, 51.458381652832145)","(-0.16809499263763428, 51.52651214599621)",Hammersmith and Fulham,11287.0
"(-0.16264800727356032, 51.56012344360357)","(-0.02993199974298477, 51.60783386230469)",Haringey,9076.0
"(-0.43609428405756034, 51.55417633056652)","(-0.28029173612594604, 51.6384162902832)",Harrow,4977.0
"(0.14801900088792763, 51.48315429687506)","(0.33611100912094116, 51.629169464111385)",Havering,2310.0
"(-0.5162693858146667, 51.456485748291016)","(-0.4213365316390991, 51.630527496338004)",Hillingdon,2652.0
"(-0.45812395215034485, 51.41372680664068)","(-0.23650799691677094, 51.496505737304744)",Hounslow,4851.0
"(-0.1309179961681366, 51.51578903198242)","(-0.07009399682283401, 51.570995330810604)",Islington,16321.0
"(-0.2162300050258068, 51.47075271606445)","(-0.13897700607776642, 51.522098541259766)",Kensington and Chelsea,12876.0
"(-0.331616073846817, 51.323093414306754)","(-0.22475199401378632, 51.43349838256847)",Kingston upon Thames,4764.0
"(-0.14275099337100983, 51.408092498779354)","(-0.07454600185155869, 51.502265930175895)",Lambeth,12156.0
"(-0.06665299832820892, 51.41107177734381)","(0.04413999989628792, 51.4896354675293)",Lewisham,8702.0
"(-0.2442770004272461, 51.379131317138786)","(-0.1186790019273758, 51.43712997436535)",Merton,5490.0
"(-0.011008000001254459, 51.494274139404354)","(0.09957399964343949, 51.56355285644531)",Newham,9756.0
"(0.01809900067740955, 51.542129516601676)","(0.1524219959974289, 51.62652587890625)",Redbridge,5411.0
"(-0.38437798619270325, 51.38444137573248)","(-0.21320100128650665, 51.48240280151367)",Richmond upon Thames,3450.0
"(-0.10322199761861839, 51.41921997070318)","(-0.023135000839715758, 51.507091522216854)",Southwark,11045.0
"(-0.24305599927896537, 51.31964111328125)","(-0.1097989976405529, 51.38854980468756)",Sutton,4706.0
"(-0.0770730003713993, 51.479656219482536)","(0.019481999799609184, 51.543540954589844)",Tower Hamlets,16427.0
"(-0.05270899832248688, 51.55247879028326)","(0.027600999921560287, 51.6466522216798)",Waltham Forest,7137.0
"(-0.24606899917120018, 51.41772079467768)","(-0.1214869990944294, 51.47975540161133)",Wandsworth,9624.0
"(-0.21105700731277466, 51.476806640625)","(-0.0998620018362999, 51.532150268554744)",Westminster,12167.0
"(-2.8377606868743896, 53.307106018066406)","(-2.593505859375, 53.40318298339844)",Halton,1636.0
"(-1.5319429636001587, 50.73847198486328)","(-0.9430559873580933, 51.3763885498048)",Basingstoke and Deane,279.0
"(-1.1282228231430054, 50.873863220214844)","(-0.7515377402305035, 51.224464416503906)",East Hampshire,238.0
"(-1.4109828472136883, 50.85569381713873)","(-1.2629687786101726, 51.00153350830084)",Eastleigh,1677.0
"(-1.3294135332107544, 50.803573608398494)","(-1.119423508644104, 50.89456176757818)",Fareham,1565.0
"(-1.2069455385207561, 50.772914886474666)","(-1.1113879680633545, 50.83902740478521)",Gosport,3344.0
"(-1.029770612716618, 51.182369232177734)","(-0.7556226253509521, 51.362163543701286)",Hart,451.0
"(-1.0590938329696655, 50.83486175537115)","(-0.9225000143051147, 50.90640258789074)",Havant,2264.0
"(-1.9500010013580322, 50.7054176330567)","(-1.3058329820632366, 51.00915908813471)",New Forest,239.0
"(-0.8308602571487427, 51.21374893188482)","(-0.7252780199050903, 51.320594787597656)",Rushmoor,2423.0
"(-1.6963880062103271, 50.933639526367244)","(-1.3296411037443931, 51.33457183837896)",Test Valley,201.0
"(-1.4556821584701538, 50.83541488647461)","(-1.0395355224608238, 51.18597030639643)",Winchester,189.0
"(-1.3936703205108643, 54.62155151367199)","(-1.1591659784316448, 54.72800827026373)",Hartlepool,999.0
"(-0.12515555322170258, 51.67724990844738)","(0.011132917366865058, 51.7702255249024)",Broxbourne,1891.0
"(-0.7482051253318787, 51.673698425293026)","(-0.41381305456155815, 51.84972000122082)",Dacorum,728.0
"(-0.19809772074222565, 51.731945037841854)","(0.19916699826728745, 51.991622924804744)",East Hertfordshire,315.0
"(-0.3943477571010021, 51.61973190307617)","(-0.15574230253696442, 51.73837280273443)",Hertsmere,1037.0
"(-0.4053906798362732, 51.83638381958002)","(0.0906547605991932, 52.08500289916998)",North Hertfordshire,356.0
"(-0.23472870886325836, 51.86968231201172)","(-0.16668027639383354, 51.92811203002941)",Stevenage,3383.0
"(-0.5403488278388977, 51.602432250976676)","(-0.35985448956489563, 51.74195098876959)",Three Rivers,1051.0
"(-0.44422265887260437, 51.63987731933594)","(-0.37562140822410583, 51.70012283325201)",Watford,4507.0
"(-0.284883052110672, 51.679191589355526)","(-0.11352571845054626, 51.85728836059576)",Welwyn Hatfield,950.0
"(-1.5930559635162354, 50.5745849609375)","(-1.0691670179367065, 50.76763916015625)",Isle of Wight,373.0
"(-6.419305801391602, 49.86541748046869)","(-6.243751049041748, 49.98125076293957)",Isles of Scilly,136.0
"(0.5748640298844521, 50.988941192626896)","(0.9868912696838947, 51.25970077514654)",Ashford,224.0
"(0.9437873959541889, 51.17108535766613)","(1.2650972604751587, 51.38069534301769)",Canterbury,536.0
"(0.16083399951463662, 51.377605438232536)","(0.35685235261917114, 51.47333145141607)",Dartford,1548.0
"(1.1297993659973713, 51.09291839599615)","(1.4058330059051514, 51.32362747192394)",Dover,375.0
"(0.3216100633144947, 51.32180786132818)","(0.4850944280624958, 51.45279693603521)",Gravesham,1080.0
"(0.3758592903614044, 51.12932968139643)","(0.7709596157074543, 51.33086013793951)",Maidstone,437.0
"(0.04444300010806046, 51.135879516601676)","(0.32743284106265946, 51.38362884521496)",Sevenoaks,327.0
"(0.60706061124813, 51.21231079101568)","(0.9864347577095032, 51.44874954223644)",Swale,402.0
"(1.2279868125916096, 51.31183624267584)","(1.4497220516205402, 51.39402770996094)",Thanet,1370.0
"(0.20391640067111894, 51.1753044128418)","(0.529394447803611, 51.36542129516613)",Tonbridge and Malling,550.0
"(0.1529876142740818, 51.00000000000006)","(0.6271031498908997, 51.19814682006847)",Tunbridge Wells,358.0
"(-2.0088136196135906, 53.51610946655279)","(-1.5703712701797485, 53.760746002197266)",Kirklees,1076.0
"(-2.9208414554595947, 53.34850692749035)","(-2.751396894454956, 53.50046920776373)",Knowsley,1744.0
"(-2.3590469360351562, 53.730854034423885)","(-2.1110775470733643, 53.822494506835994)",Burnley,803.0
"(-2.821357488632202, 53.60524749755865)","(-2.5111119747161865, 53.746292114257926)",Chorley,583.0
"(-3.0580549240111736, 53.72876358032232)","(-2.775780439376831, 53.86913299560541)",Fylde,488.0
"(-2.4681260585784344, 53.71635055541998)","(-2.318481445312443, 53.81310653686535)",Hyndburn,1110.0
"(-2.9236109256744385, 53.92081069946295)","(-2.4635348320006756, 54.2427711486817)",Lancaster,258.0
"(-2.3381593227386475, 53.79864883422863)","(-2.0325100421905518, 53.9400253295899)",Pendle,544.0
"(-2.81675386428833, 53.75542068481445)","(-2.6037158966064453, 53.894130706787166)",Preston,1006.0
"(-2.6590449810028076, 53.76088714599615)","(-2.1751039028167725, 54.05204391479498)",Ribble Valley,104.0
"(-2.4185745716094402, 53.62308883666998)","(-2.1481142044066246, 53.753650665283146)",Rossendale,518.0
"(-2.837591886520329, 53.679523468017635)","(-2.553778409957829, 53.79013442993164)",South Ribble,979.0
"(-3.0522143840789795, 53.49737167358404)","(-2.701607704162541, 53.746295928955135)",West Lancashire,330.0
"(-3.051388978958016, 53.82423782348633)","(-2.6121315956115723, 53.97915649414074)",Wyre,397.0
"(-1.801599144935608, 53.701313018798885)","(-1.287224054336491, 53.94499969482433)",Leeds,1438.0
