bottom_left,top_right,name,pop_density
"(-0.7732133269309429, 51.27747726440441)","(-0.5437678694724468, 51.38574600219732)",Surrey Heath,939.0
"(-0.15354439616203308, 51.134441375732536)","(0.06388899683952332, 51.330829620361385)",Tandridge,355.0
"(-0.8399999737738995, 51.07083129882824)","(-0.4147570431231884, 51.23643875122076)",Waverley,366.0
"(-0.6429650187492371, 51.259574890136776)","(-0.47100573778152466, 51.34095764160156)",Woking,1585.0
"(-1.8398799896239666, 51.48445510864269)","(-1.5869598388671875, 51.68111038208019)",Swindon,966.0
"(-2.206960678100529, 53.43740081787115)","(-1.9715771675108726, 53.53496551513666)",Tameside,2196.0
"(-2.673361063003483, 52.60708236694347)","(-2.3041670322418213, 52.82604598999035)",Telford and Wrekin,620.0
"(0.21666599810134812, 51.44332885742199)","(0.5480549931527321, 51.557998657226506)",Thurrock,1064.0
"(-3.6227684020996094, 50.37486267089855)","(-3.4802789688109783, 50.50820159912104)",Torbay,2167.0
"(-2.460556983947754, 53.350467681884766)","(-2.2471716403960613, 53.47095108032238)",Trafford,2238.0
"(-1.6211988925933838, 53.576110839843864)","(-1.21110999584198, 53.737754821777344)",Wakefield,1029.0
"(-2.100670576095581, 52.542556762695426)","(-1.865555524825993, 52.66527938842785)",Walsall,2746.0
"(-2.7127463817596436, 53.328624725341854)","(-2.4287700653075603, 53.48779296875006)",Warrington,1163.0
"(-1.7776730060577393, 52.43743133544933)","(-1.468536972999459, 52.696666717529354)",North Warwickshire,230.0
"(-1.5750735998153118, 52.46456146240229)","(-1.4005666971206665, 52.549201965332145)",Nuneaton and Bedworth,1645.0
"(-2.0514512062072754, 52.246971130371094)","(-1.1694005727767376, 52.576194763183594)",Rugby,310.0
"(-1.9457234144210815, 52.0269393920899)","(-1.2159276008605957, 52.3675804138183)",Stratford-on-Avon,133.0
"(-1.7888888120651245, 52.21533584594738)","(-1.410722613334599, 52.39307785034191)",Warwick,508.0
"(-1.5844680070875938, 51.33250045776367)","(-1.0029163360595703, 51.553329467773494)",West Berkshire,225.0
"(-0.3770541548728943, 50.81882095336914)","(-0.2061109989880947, 50.876464843750114)",Adur,1529.0
"(-0.7510146498680115, 50.77347183227539)","(-0.36102014780044556, 50.89772415161144)",Arun,727.0
"(-0.9525009989738464, 50.72208404541021)","(-0.46361568570137024, 51.08903884887707)",Chichester,154.0
"(-0.9424999952315147, 50.809581756591854)","(-0.1383813917636303, 51.161380767822266)",Crawley,2500.0
"(-0.5588731169700623, 50.86222839355469)","(-0.20957128703594208, 51.144855499267635)",Horsham,271.0
"(-0.25292590260505676, 50.8610076904298)","(0.0259500108658699, 51.144145965576286)",Mid Sussex,452.0
"(-0.434743195772171, 50.80263900756836)","(-0.32583400607103385, 50.86088180541998)",Worthing,3400.0
"(-2.735652446746826, 53.45245742797863)","(-2.426621675491276, 53.60970687866211)",Wigan,1747.0
"(-2.351944923400879, 50.950271606445426)","(-1.485834002494812, 51.69805145263672)",Wiltshire,154.0
"(-0.8509052991867065, 51.37880325317377)","(-0.5165019035338787, 51.57526779174799)",Windsor and Maidenhead,771.0
"(-3.229722023010254, 53.30097198486328)","(-2.941943883895817, 53.44124984741211)",Wirral,2013.0
"(-1.0461599826812744, 51.34946441650396)","(-0.7902361750602722, 51.56234359741211)",Wokingham,956.0
"(-2.2005579471587566, 52.54639053344732)","(-2.066624164581242, 52.63415908813482)",Wolverhampton,3793.0
"(-2.1502130031585693, 52.26933670043957)","(-1.850272297859192, 52.43693923950201)",Bromsgrove,460.0
"(-2.6125197410583496, 51.96277999877941)","(-2.1599090099334717, 52.36412429809582)",Malvern Hills,136.0
"(-2.032507658004704, 52.23507308959961)","(-1.8854008913039593, 52.31928634643566)",Redditch,1572.0
"(-2.2601423263549805, 52.16351318359381)","(-2.1533114910125732, 52.22526931762707)",Worcester,3042.0
"(-2.274564504623413, 51.99528121948242)","(-1.7577780485153198, 52.35903167724621)",Wychavon,195.0
"(-2.432462692260742, 52.325679779052734)","(-2.132903099059945, 52.456108093261776)",Wyre Forest,518.0
"(-1.2163509130477905, 53.87673950195324)","(-0.908151149749699, 54.054698944091854)",York,775.0
"(-6.065834999084473, 54.540279388427734)","(-5.807776927947941, 54.663059234619084)",Belfast,2495.0
"(-3.7963900566100506, 56.740135192871094)","(-1.7658330202101524, 57.7009735107423)",Aberdeenshire,41.0
"(-3.3950340747832684, 56.46402740478527)","(-2.4330570697784424, 56.98471832275396)",Angus,53.0
"(-6.999722003936711, 55.27402877807617)","(-4.558332920074406, 56.70486068725597)",Argyll and Bute,12.0
"(-3.880497455596924, 56.07049179077143)","(-3.5754542350769043, 56.21583175659174)",Clackmannanshire,324.0
"(-5.188055038452092, 54.632915496826286)","(-2.8505558967589764, 55.46249008178711)",Dumfries and Galloway,23.0
"(-4.625720024108887, 55.14205932617199)","(-3.960791110992375, 55.75934219360357)",East Ayrshire,97.0
"(-4.40255689620966, 55.891853332519645)","(-4.045319557189885, 56.02885055541998)",East Dunbartonshire,623.0
"(-3.0885262489318848, 55.82167816162104)","(-2.364167928695622, 56.078750610351676)",East Lothian,158.0
"(-4.563775062561035, 55.669269561767635)","(-4.218910217285156, 55.81155395507824)",East Renfrewshire,548.0
"(-3.4510829448699383, 55.81929397583002)","(-3.087571382522583, 56.01263809204107)",City of Edinburgh,1993.0
"(-4.036857604980469, 55.895271301269645)","(-3.5125010013580322, 56.10050582885742)",Falkirk,541.0
"(-3.750951051712036, 56.00680541992193)","(-2.5441670417785645, 56.453193664550895)",Fife,282.0
"(-6.790278911590576, 56.497081756591854)","(-3.023056983947754, 59.0879173278808)",Highland,9.0
"(-4.899722099304199, 55.84244537353527)","(-4.606791973114014, 55.963748931884766)",Inverclyde,485.0
"(-3.378889322280827, 55.71194076538086)","(-2.820858955383301, 55.92860794067383)",Midlothian,261.0
"(-3.7613890171050457, 57.082057952880916)","(-2.705631971359253, 57.725971221923885)",Moray,43.0
"(-5.397500991821289, 55.423751831054744)","(-4.492831707000732, 55.92930603027344)",North Ayrshire,152.0
"(-4.189350128173828, 55.74046325683594)","(-3.7063889503479004, 56.02582931518566)",North Lanarkshire,726.0
"(-3.4363889694213867, 58.672916412353516)","(-2.368612051010132, 59.392917633056584)",Orkney Islands,22.0
"(-4.7847228050231365, 55.7572593688966)","(-4.357911109924316, 55.933750152587834)",Renfrewshire,685.0
"(-3.5347230434416588, 55.112220764160156)","(-2.028057098388672, 55.94694900512695)",Scottish Borders,24.0
"(-2.1203126907348633, 59.50597381591797)","(0.007812466938162288, 61.52708435058605)",Shetland Islands,16.0
"(-5.125278949737435, 55.00514984130854)","(-4.400814056396484, 55.591361999511776)",South Ayrshire,92.0
"(-4.273629188537541, 55.28971862792963)","(-3.394443988799992, 55.8355331420899)",South Lanarkshire,181.0
"(-4.836919784545842, 55.953628540039176)","(-3.8022935390471844, 56.577392578125)",Stirling,43.0
"(-4.652055740356445, 55.877590179443416)","(-4.383216381072998, 56.080612182617244)",West Dunbartonshire,560.0
"(-3.820555925369206, 55.76966094970703)","(-3.377210855484009, 56.00041580200201)",West Lothian,428.0
"(-3.2927789688109783, 51.67804336547863)","(-3.130041599273625, 51.81472015380871)",Blaenau Gwent,643.0
"(-3.761944055557194, 51.468887329101676)","(-3.4754130840300945, 51.685546875000114)",Bridgend,586.0
"(-3.336068630218506, 51.545169830322266)","(-3.073154926299992, 51.80729675292963)",Caerphilly,653.0
"(-3.332798480987549, 51.4509735107423)","(-3.065556049346924, 51.56156158447271)",Cardiff,2604.0
"(-4.767683029174748, 51.654304504394645)","(-3.64194393157959, 52.12429046630854)",Carmarthenshire,80.0
"(-4.698540210723877, 52.0282821655274)","(-3.651945114135742, 52.558193206787166)",Ceredigion,41.0
"(-4.04167985916132, 52.95217895507818)","(-3.462862014770451, 53.343193054199276)",Conwy,104.0
"(-3.5945000648498535, 52.86688232421875)","(-3.094794988632202, 53.35069274902355)",Denbighshire,114.0
"(-3.3820929527282715, 53.084312438964844)","(-2.916956901550293, 53.3565292358399)",Flintshire,355.0
"(-4.803610801696777, 52.54180526733404)","(-3.452453374862614, 53.331249237060604)",Gwynedd,49.0
"(-3.4685332775115967, 51.64862442016607)","(-3.2752039432525635, 51.82777023315441)",Merthyr Tydfil,541.0
"(-3.1568169593810467, 51.563472747802734)","(-2.647500991821289, 51.98332977294933)",Monmouthshire,111.0
"(-3.9330899715423016, 51.53324890136719)","(-3.56777906417841, 51.80028152465832)",Neath Port Talbot,325.0
"(-3.1214840412138756, 51.502361297607536)","(-2.797791004180908, 51.66170501708996)",Newport,812.0
"(-5.48416805267334, 51.595417022705135)","(-4.494659900665283, 52.11819458007807)",Pembrokeshire,78.0
"(-3.9321999549865723, 51.75777053833019)","(-2.9525010585784344, 52.894470214843864)",Powys,26.0
"(-4.334166049957275, 51.53541564941412)","(-3.8298959732055096, 51.76665878295904)",Swansea,654.0
"(-3.1580100059509277, 51.60578918457037)","(-2.9612650871276287, 51.81079864501959)",Torfaen,748.0
"(-3.64194393157959, 51.337917327880916)","(-3.1024999618529137, 51.518859863281364)",Vale of Glamorgan,403.0
"(-3.380126714706421, 52.864868164062614)","(-2.71966814994812, 53.136478424072266)",Wrexham,270.0
